date,total_amount,is_holiday
12/14/2017,25077.65,0
12/15/2017,29457.9,0
12/16/2017,21231.16,0
12/17/2017,20447.3,0
12/18/2017,31106.48,0
12/19/2017,21431.13,0
12/20/2017,27950.18,0
12/21/2017,18953.27,0
12/22/2017,15927.43,0
12/23/2017,11402.73,0
12/24/2017,5567.42,0
12/25/2017,10402.72,1
12/26/2017,21525.38,0
12/27/2017,18903.14,0
12/28/2017,15048.09,0
12/29/2017,17401.19,0
12/30/2017,13503.04,0
12/31/2017,8492.07,0
1/1/2018,7381.87,1
1/2/2018,26204.76,0
1/3/2018,32127.07,0
1/4/2018,36697.3,0
1/5/2018,29850.89,0
1/6/2018,33624.32,0
1/7/2018,31374.49,0
1/8/2018,43397.41,0
1/9/2018,33629.08,0
1/10/2018,45468.26,0
1/11/2018,52126.29,0
1/12/2018,36119.72,0
1/13/2018,28914.37,0
1/14/2018,32615.68,0
1/15/2018,41124.65,0
1/16/2018,49692.05,0
1/17/2018,36583.51,0
1/18/2018,31018.82,0
1/19/2018,29007.58,0
1/20/2018,23160.69,0
1/21/2018,23398.62,0
1/22/2018,41316.54,0
1/23/2018,38705.11,0
1/24/2018,34897.27,0
1/25/2018,31824.21,1
1/26/2018,36861.98,0
1/27/2018,24878.86,0
1/28/2018,24071.26,0
1/29/2018,33851.62,0
1/30/2018,36982.64,0
1/31/2018,35367.2,0
2/1/2018,39017.94,0
2/2/2018,32150.09,0
2/3/2018,24075.71,0
2/4/2018,25596.53,0
2/5/2018,39957.25,0
2/6/2018,39235.24,0
2/7/2018,34030.69,0
2/8/2018,30062.83,0
2/9/2018,32641.25,0
2/10/2018,22645.44,0
2/11/2018,25750.95,0
2/12/2018,25053.04,1
2/13/2018,26464.12,1
2/14/2018,41784.73,1
2/15/2018,34171.06,0
2/16/2018,31589.05,0
2/17/2018,26526.12,0
2/18/2018,27061.17,0
2/19/2018,31229.79,0
2/20/2018,38240.46,0
2/21/2018,36506.57,0
2/22/2018,56492.78,0
2/23/2018,30160.23,0
2/24/2018,25846.01,0
2/25/2018,33521.02,0
2/26/2018,45922.47,0
2/27/2018,49972.5,0
2/28/2018,49248.83,0
3/1/2018,45831.8,0
3/2/2018,35107.57,0
3/3/2018,26965.84,0
3/4/2018,32668.95,0
3/5/2018,45295.51,0
3/6/2018,41744.49,0
3/7/2018,39247.29,0
3/8/2018,32524.86,0
3/9/2018,30033.39,0
3/10/2018,29087.4,0
3/11/2018,33144.68,0
3/12/2018,31174.57,0
3/13/2018,37109.68,0
3/14/2018,25965.9,0
3/15/2018,45674.49,0
3/16/2018,37195.37,0
3/17/2018,23699.81,0
3/18/2018,31923.52,0
3/19/2018,51347.13,0
3/20/2018,39558.86,0
3/21/2018,41340.04,0
3/22/2018,33497.69,0
3/23/2018,30845.79,0
3/24/2018,26075.95,0
3/25/2018,28856.2,0
3/26/2018,39820.95,0
3/27/2018,40491.25,0
3/28/2018,29153.08,0
3/29/2018,30390.89,0
3/30/2018,24643.38,1
3/31/2018,30350.32,0
4/1/2018,31496.87,0
4/2/2018,45299.22,0
4/3/2018,39510.1,0
4/4/2018,41006.32,0
4/5/2018,39499.02,0
4/6/2018,30004.25,0
4/7/2018,27000.04,0
4/8/2018,24901.13,0
4/9/2018,54552.96,0
4/10/2018,29534.85,0
4/11/2018,41281.95,0
4/12/2018,37844.17,0
4/13/2018,33397.39,0
4/14/2018,22788.81,0
4/15/2018,34348.62,0
4/16/2018,44838.73,0
4/17/2018,42325.62,0
4/18/2018,42680.37,0
4/19/2018,59382.95,0
4/20/2018,30966.78,0
4/21/2018,20149.26,1
4/22/2018,30394.93,0
4/23/2018,39437.96,0
4/24/2018,47355.89,0
4/25/2018,44047.14,0
4/26/2018,35340.07,0
4/27/2018,46551.89,0
4/28/2018,24838.27,0
4/29/2018,21177.54,0
4/30/2018,39893.84,0
5/1/2018,34710.74,1
5/2/2018,42144.73,0
5/3/2018,47285.91,0
5/4/2018,42781.56,0
5/5/2018,29721.23,0
5/6/2018,29600.43,0
5/7/2018,58861.67,0
5/8/2018,52387.22,0
5/9/2018,49498.74,0
5/10/2018,59102.2,0
5/11/2018,44402.32,0
5/12/2018,32709.35,0
5/13/2018,34974.03,1
5/14/2018,58201.37,0
5/15/2018,52991.64,0
5/16/2018,61460.19,0
5/17/2018,33915.29,0
5/18/2018,35614.36,0
5/19/2018,27693.89,0
5/20/2018,21538.74,0
5/21/2018,26995.3,0
5/22/2018,31973.46,0
5/23/2018,19503.78,0
5/24/2018,22199.58,0
5/25/2018,21790.59,0
5/26/2018,16977.68,0
5/27/2018,12995.69,0
5/28/2018,29925.18,0
5/29/2018,28442.65,0
5/30/2018,22567.42,0
5/31/2018,27228.78,1
6/1/2018,44849.55,0
6/2/2018,26533.66,0
6/3/2018,30351.71,0
6/4/2018,30541.6,0
6/5/2018,37824.37,0
6/6/2018,30864.85,0
6/7/2018,41086.35,0
6/8/2018,29587.3,0
6/9/2018,32726.03,0
6/10/2018,27731.09,0
6/11/2018,57442.31,0
6/12/2018,44061.93,0
6/13/2018,38516.17,0
6/14/2018,29658.09,0
6/15/2018,28630.89,0
6/16/2018,25481.28,0
